TCGplayer Id,Product Line,Set Name,Product Name,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,My totals,My Store Price,Photo URL,Sold For ,Listed Where,Sold When,Where is it?,Sold For,Profit
7790172,Magic,Modern Horizons 3,Bloodstained Mire,216,R,Near Mint,18.73,,,,,1,18.73,18.73,18.73,https://user-content.cardcastle.co/uploads/card_user/scanned_image/a2811cd0-9228-4ab7-8486-e9183223d48b.jpg,$18.56,In store,8/16/2026,81326,,9.195
7847400,Magic,Outlaws of Thunder Junction: Breaking News,Reanimate,18,R,Near Mint,8.99,,,,,1,8.99,8.99,8.99,https://user-content.cardcastle.co/uploads/card_user/scanned_image/3f1e8fd2-02ca-4c5b-8d3b-6babc89392b8.jpg,$10.00,In store,8/18/2026,81326,,5.505
7976317,Magic,Prerelease Cards,Birthing Ritual,146s,M,Near Mint Foil,10.31,,,,,1,10.31,10.31,10.31,https://user-content.cardcastle.co/uploads/card_user/scanned_image/16684b1b-effe-489c-8d24-a31f6c3401f5.jpg,,,,81326,,
8340955,Magic,Foundations,Rise of the Dark Realms (Borderless),323,M,Near Mint,21.97,,,,,1,21.97,21.97,21.97,https://user-content.cardcastle.co/uploads/card_user/scanned_image/b12b72b1-b25b-43c5-955d-cd5131d1579c.jpg,,,,81326,,
7010707,Magic,Commander Masters,Jeweled Lotus,396,M,Near Mint,43.51,,,,,1,43.51,43.51,43.51,https://user-content.cardcastle.co/uploads/card_user/scanned_image/6eeb3610-0a92-4685-86bd-d1dc4dc2c9eb.jpg,$43.00,In store,8/18/2026,81326,,21.245
,Magic,Kamigawa: Neon Dynasty,Farewell,417,R,Near Mint Foil,$15.60,,,,,1,,$15.60,,https://user-content.cardcastle.co/uploads/card_user/scanned_image/5d8b49bf-9d2a-4c94-a964-5081f60a2767.jpg,,,,81326,,
3609352,Magic,Masters 25,"Animar, Soul of Elements",196,M,Near Mint Foil,93.03,,,,,1,93.03,93.03,93.03,https://user-content.cardcastle.co/uploads/card_user/scanned_image/bdb4de96-625c-4fe6-a15c-1e313b3649b7.jpg,,,,81326,,
9304363,Magic,Marvel Super Heroes,"Thanos, The Mad Titan (Borderless) (0400)",400,M,Near Mint Foil,228.37,,,,,1,228.37,228.37,228.37,https://user-content.cardcastle.co/uploads/card_user/scanned_image/8bc97f4f-52a7-4c0a-b449-38a3db071549.jpg,,,,81326,,
8285030,Magic,Foundations,Bloodthirsty Conqueror,58,M,Near Mint,39.97,,,,,1,39.97,39.97,39.97,https://user-content.cardcastle.co/uploads/card_user/scanned_image/ce8348a4-888d-4d96-bbe2-79b0be9b7d38.jpg,$36.20,In store,8/17/2026,81326,,16.215
7265981,Magic,Commander Masters,Doubling Season,283,M,Near Mint,35.3,,,,,1,35.3,35.3,35.3,https://user-content.cardcastle.co/uploads/card_user/scanned_image/14b1896a-06ce-4ee2-83ab-54485a8d7281.jpg,$34.00,In store,8/17/2026,81326,,16.35
7265071,Magic,Commander Masters,Fierce Guardianship,94,R,Near Mint,56.21,,,,,1,56.21,56.21,56.21,https://user-content.cardcastle.co/uploads/card_user/scanned_image/b5ee242a-23db-4933-8949-455888740644.jpg,$58.37,In store,8/17/2026,81326,,30.265
7266041,Magic,Commander Masters,The Great Henge,294,M,Near Mint,62.97,,,,,1,62.97,62.97,62.97,https://user-content.cardcastle.co/uploads/card_user/scanned_image/23c983c6-0bc7-4e0e-8c30-442f355004d8.jpg,$64.00,In store,8/18/2026,81326,,32.515
7258332,Magic,Commander Masters,Finale of Devastation (Borderless),700,M,Near Mint,79.64,,,,,1,79.64,79.64,79.64,https://user-content.cardcastle.co/uploads/card_user/scanned_image/fb5c3ada-a38b-4796-aeb8-46dd769d8f93.jpg,,,,81326,,
7265321,Magic,Commander Masters,Demonic Tutor,150,M,Near Mint,74.61,,,,,1,74.61,74.61,74.61,https://user-content.cardcastle.co/uploads/card_user/scanned_image/5ba3504a-94c3-41a3-9cda-e8d5ade9d095.jpg,$65.00,In store,8/17/2026,81326,,27.695
